instrument,question_id,concept,question,ground_truth,prediction,cosine_similarity
bahi,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Bahi is a traditional Assamese transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.","The Bahi is a transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping",0.9885830879211426
bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women.,0.8477961421012878
bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made from a single piece of bamboo and consists of two separate pieces connected by a joint.,0.2225588858127594
bahi,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,0.9999999403953552
bahi,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.","The main parts of this instrument are bamboo tube body, blow hole and finger holes.",1.0
bahi,q5,sound,What sound does this instrument produce?,"This instrument produces a soft, melodic, flute-like sound.","This instrument produces a soft, melodic, flute-like sound.",1.0
bahi,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1.0
bahi,q7,playing_method,How is this instrument played?,This instrument is played by blowing air across the blow hole and covering finger holes.,This instrument is played by blowing air across the blow hole and covering finger holes.,1.0
bahi,q8,instrument_type,What type of musical instrument is this?,This is a transverse bamboo flute instrument.,This is a transverse bamboo flute instrument. It is played by blowing air across the mouthpiece and covering finger holes.,0.9080797433853149
bahi,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Bahi is a traditional Assamese transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.","The Bahi is a transverse-assamese wind instrument made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike",0.9621407389640808
bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women.,0.8477961421012878
bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made from a single piece of bamboo and has two blow holes. It is played by blowing air through both ends.,0.21210218966007233
bahi,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,0.9999999403953552
bahi,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.","The main parts of this instrument are bamboo tube body, blow hole and finger holes.",1.0
bahi,q5,sound,What sound does this instrument produce?,"This instrument produces a soft, melodic, flute-like sound.","This instrument produces a soft, melodic, flute-like sound.",1.0
bahi,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1.0
bahi,q7,playing_method,How is this instrument played?,This instrument is played by blowing air across the blow hole and covering finger holes.,This instrument is played by blowing air across the blow hole and covering finger holes.,1.0
bahi,q8,instrument_type,What type of musical instrument is this?,This is a transverse bamboo flute instrument.,This is a transverse bamboo flute instrument. It is played by blowing air across the mouthpiece and covering finger holes.,0.9080797433853149
bahi,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Bahi is a traditional Assamese transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.",The Bahi is a transverse bamboo flute that is traditionally made from a single piece of bamboo. It is played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. The Bahi is one of the oldest transverse flutes in Assamese folk music and is traditionally played by,0.9630391001701355
bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is blown to produce a high pitched wailing sound. It is played by both men and women.,0.48192310333251953
bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,"This instrument is made from a single piece of bamboo and is blown to produce a high-pitched, sharp tone.",0.22836783528327942
bahi,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,0.9999999403953552
bahi,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.",During which festival is this instrument played?,0.4400078356266022
bahi,q5,sound,What sound does this instrument produce?,"This instrument produces a soft, melodic, flute-like sound.","This instrument produces a soft, melodic, flute-like sound.",1.0
bahi,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1.0
bahi,q7,playing_method,How is this instrument played?,This instrument is played by blowing air across the blow hole and covering finger holes.,This instrument is played by blowing air across the blow hole and covering finger holes.,1.0
bahi,q8,instrument_type,What type of musical instrument is this?,This is a transverse bamboo flute instrument.,This is a transverse bamboo flute instrument. It is played by blowing air across the open end and covering finger holes.,0.9121288061141968
bahi,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Bahi is a traditional Assamese transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.","The Bahi is a transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping",0.9885830879211426
toka,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small bamboo flute is blown to produce a sharp, piercing sound. It is traditionally played during Rongali Bihu.",0.6323789954185486
toka,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is played by holding both ends and vibrating the vibrating bar by striking it against the other end or a hard surface.,0.06553201377391815
toka,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,0.9999999403953552
toka,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends.",This instrument is played by striking both ends with the fingers.,0.6160337924957275
toka,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, dry clicking sound.","This instrument produces a sharp, dry clicking sound.",1.0
toka,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624454140663147
toka,q7,playing_method,How is this instrument played?,This instrument is played by clapping the two bamboo pieces against each other.,This instrument is played by striking both ends of the bamboo piece against each other.,0.8532114028930664
toka,q8,instrument_type,What type of musical instrument is this?,This is a bamboo clapper percussion instrument.,"During performances, this instrument is played by striking the two ends of the bamboo stick together.",0.6488921046257019
toka,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive",0.9958246350288391
toka,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, cone-shaped instrument is made of bamboo and a small piece of metal or stone. It is blown to make a sharp, clicking sound.",0.3867076337337494
toka,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is played by holding both ends and vibrating the vibrating bar while plucking the ring.,0.11602841317653656
toka,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,0.9999999403953552
toka,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends.","The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends.",1.0
toka,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, dry clicking sound.","This instrument produces a sharp, dry clicking sound.",1.0
toka,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624454736709595
toka,q7,playing_method,How is this instrument played?,This instrument is played by clapping the two bamboo pieces against each other.,This instrument is played by striking the two metal bars against each other.,0.6090003252029419
toka,q8,instrument_type,What type of musical instrument is this?,This is a bamboo clapper percussion instrument.,"This is a bamboo clapper percussion instrument. It consists of two bamboo pieces that are struck against each other to produce a sharp, dry sound.",0.9233646392822266
toka,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive",0.9958246350288391
toka,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small conical wind instrument is blown to produce a sharp, piercing sound. It is played by both men and women.",0.4596681594848633
toka,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made from a single piece of bamboo and consists of two vibrating pieces connected by a string.,0.23712891340255737
toka,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,0.9999999403953552
toka,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends.","The main parts of this instrument are two bamboo pieces, a hinged joint, and striking ends.",0.9985269904136658
toka,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, dry clicking sound.","This instrument produces a sharp, dry clicking sound.",1.0
toka,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624454140663147
toka,q7,playing_method,How is this instrument played?,This instrument is played by clapping the two bamboo pieces against each other.,This instrument is played by clapping the two bamboo pieces together.,0.9841722249984741
toka,q8,instrument_type,What type of musical instrument is this?,This is a bamboo clapper percussion instrument.,This is a bamboo clapper percussion instrument played by striking the two ends together. It is traditionally played during Rongali Bihu festivals.,0.8603384494781494
toka,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive",0.9958246350288391
toka,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam.,0.8784782886505127
toka,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument originated in the rural communities of Assam.,0.7507209777832031
toka,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,0.9999999403953552
toka,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends.",During which festival is this instrument played?,0.4495198726654053
toka,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, dry clicking sound.","This instrument produces a sharp, dry clicking sound.",1.0
toka,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624454140663147
toka,q7,playing_method,How is this instrument played?,This instrument is played by clapping the two bamboo pieces against each other.,This instrument is played by striking the two bamboo pieces together near the mouthpiece.,0.8171135187149048
toka,q8,instrument_type,What type of musical instrument is this?,This is a bamboo clapper percussion instrument.,"This is a bamboo clapper percussion instrument. It consists of two bamboo pieces that are struck against each other to produce a sharp, dry sound.",0.9233646392822266
toka,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive",0.9958246350288391
toka,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is made by splitting a bamboo stick lengthwise and wrapping it with cloth.,0.35652071237564087
toka,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument originated in the rural communities of Assam. It is played by plucking both ends of the bamboo tube.,0.5646814107894897
toka,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,0.9999999403953552
toka,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends.","The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends.",1.0
toka,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, dry clicking sound.","This instrument produces a sharp, dry clicking sound.",1.0
toka,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624454140663147
toka,q7,playing_method,How is this instrument played?,This instrument is played by clapping the two bamboo pieces against each other.,This instrument is played by striking the two bamboo pieces together.,0.8605684638023376
toka,q8,instrument_type,What type of musical instrument is this?,This is a bamboo clapper percussion instrument.,"This is a bamboo clapper percussion instrument. It consists of two bamboo pieces that are struck against each other to produce a sharp, dry sound.",0.9233646392822266
toka,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive",0.9958246350288391
khutitaal,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, round, flat percussion instrument is made from a split bamboo or wood cylinder. It is played by striking both ends of the instrument against each other.",0.5064380764961243
khutitaal,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,"This small, conical percussion instrument is made from the hollowed horn or bone of a cattle or buffalo. It is traditionally played during Rongali Bihu celebrations.",0.36577218770980835
khutitaal,q3,material,What material is this instrument made of?,This instrument is made of bell metal. ,This instrument is made of bell metal.,1.0
khutitaal,q4,parts,Name the major parts of this instrument.,The main parts of this instrument are two small cymbal discs and connecting cord.,The main parts of this instrument are two small metal discs and connecting cord.,0.8915523290634155
khutitaal,q5,sound,What sound does this instrument produce?,"This instrument produces a bright, high-pitched ringing sound.","This instrument produces a sharp, ringing high-pitched sound.",0.9663674831390381
khutitaal,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,"This small, round, conical percussion instrument is traditionally made from the hollowed stem of a grass plant or bamboo.",0.4780525863170624
khutitaal,q7,playing_method,How is this instrument played?,This instrument is played by striking the two metal discs against each other.,This instrument is played by striking the two metal discs against each other.,1.0
khutitaal,q8,instrument_type,What type of musical instrument is this?,This is a small paired metal cymbal percussion instrument.,"This is a small paired metal cymbal percussion instrument. It consists of two small round metal plates that are struck against each other to produce a sharp, dry sound.",0.8852541446685791
khutitaal,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment",0.964104413986206
khutitaal,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women.,0.8477961421012878
khutitaal,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,This instrument originated in the Brahmaputra valley of Assam.,0.7332445979118347
khutitaal,q3,material,What material is this instrument made of?,This instrument is made of bell metal. ,This instrument is made of bell metal.,1.0
khutitaal,q4,parts,Name the major parts of this instrument.,The main parts of this instrument are two small cymbal discs and connecting cord.,The main parts of this instrument are two small cymbal discs and connecting cord.,1.0
khutitaal,q5,sound,What sound does this instrument produce?,"This instrument produces a bright, high-pitched ringing sound.","This instrument produces a sharp, ringing high-pitched sound.",0.9663674831390381
khutitaal,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624454736709595
khutitaal,q7,playing_method,How is this instrument played?,This instrument is played by striking the two metal discs against each other.,This instrument is played by striking the two metal discs against each other.,1.0
khutitaal,q8,instrument_type,What type of musical instrument is this?,This is a small paired metal cymbal percussion instrument.,"This is a small paired metal cymbal percussion instrument. It consists of two small round metal discs that are struck against each other to produce a sharp, dry clicking sound.",0.8718106746673584
khutitaal,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment",0.964104413986206
khutitaal,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by clapping both cymbal halves together.,0.7663077116012573
khutitaal,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,This instrument originated in the Brahmaputra valley of Assam. It is traditionally played during Rongali Bihu.,0.6717302799224854
khutitaal,q3,material,What material is this instrument made of?,This instrument is made of bell metal. ,This instrument is made of bell metal.,1.0
khutitaal,q4,parts,Name the major parts of this instrument.,The main parts of this instrument are two small cymbal discs and connecting cord.,The major parts of this instrument are two small cymbal discs and connecting cord.,0.9918646216392517
khutitaal,q5,sound,What sound does this instrument produce?,"This instrument produces a bright, high-pitched ringing sound.","This instrument produces a sharp, metallic ringing sound.",0.8882755637168884
khutitaal,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by men.,0.8809924125671387
khutitaal,q7,playing_method,How is this instrument played?,This instrument is played by striking the two metal discs against each other.,This instrument is played by striking the two metal discs against each other.,1.0
khutitaal,q8,instrument_type,What type of musical instrument is this?,This is a small paired metal cymbal percussion instrument.,"During performances, this instrument is used in pairs and is played by striking both cymbals against each other.",0.6551340222358704
khutitaal,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment",0.964104413986206
khutitaal,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam.,0.8784782886505127
khutitaal,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,This instrument originated in the Brahmaputra valley of Assam.,0.7332445979118347
khutitaal,q3,material,What material is this instrument made of?,This instrument is made of bell metal. ,This instrument is made of bell metal.,1.0
khutitaal,q4,parts,Name the major parts of this instrument.,The main parts of this instrument are two small cymbal discs and connecting cord.,During which season is this instrument played traditionally?,0.44064614176750183
khutitaal,q5,sound,What sound does this instrument produce?,"This instrument produces a bright, high-pitched ringing sound.","This instrument produces a bright, high-pitched ringing sound.",1.0
khutitaal,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,"During festivals, this instrument is traditionally played by young men.",0.6283978223800659
khutitaal,q7,playing_method,How is this instrument played?,This instrument is played by striking the two metal discs against each other.,This instrument is played by striking the two metal discs against each other.,1.0
khutitaal,q8,instrument_type,What type of musical instrument is this?,This is a small paired metal cymbal percussion instrument.,"During performances, this instrument is played by striking both cymbal heads together or hitting one head against a hard surface.",0.6548804044723511
khutitaal,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment",0.964104413986206
khutitaal,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This small flat percussion instrument is traditionally made from the hollowed horn or bone of a cattle or buffalo. It is played by striking two pieces of the instrument together or against a hard surface.,0.49975717067718506
khutitaal,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,"This small, thumb-sized percussion instrument is traditionally played by women during Rongali Bihu. It is made by splitting a small piece of bamboo lengthwise and striking the two ends together.",0.2965998649597168
khutitaal,q3,material,What material is this instrument made of?,This instrument is made of bell metal. ,This instrument is made of bell metal.,1.0
khutitaal,q4,parts,Name the major parts of this instrument.,The main parts of this instrument are two small cymbal discs and connecting cord.,The main parts of this instrument are two small metal discs and connecting cord.,0.8915523290634155
khutitaal,q5,sound,What sound does this instrument produce?,"This instrument produces a bright, high-pitched ringing sound.","This instrument produces a sharp, dry clicking sound.",0.6676052808761597
khutitaal,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0.8624454736709595
