image,instrument,question_id,concept,question,ground_truth,prediction,axis_2a_content,axis_2b_hedge,axis_1_alignment,axis_1_misaligned_target,axis_3_correctness,axis_4_completeness,axis_5_termination,axis_6_repetition,axis_7_unsupported,core_category,needs_review,toka_q9_limitation,taxonomy_error
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test5.jpg,bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,"This instrument is made from a single piece of bamboo and is blown to produce a high-pitched, sharp tone.",yes,no,misaligned,material,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test5.jpg,bahi,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.",During which festival is this instrument played?,yes,no,misaligned,festival,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test1.jpg,toka,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is played by holding both ends and vibrating the vibrating bar by striking it against the other end or a hard surface.,yes,no,misaligned,playing_method,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test1.jpg,toka,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends.",This instrument is played by striking both ends with the fingers.,yes,no,misaligned,playing_method,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test1.jpg,toka,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test1.jpg,toka,q7,playing_method,How is this instrument played?,This instrument is played by clapping the two bamboo pieces against each other.,This instrument is played by striking both ends of the bamboo piece against each other.,yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test1.jpg,toka,q8,instrument_type,What type of musical instrument is this?,This is a bamboo clapper percussion instrument.,"During performances, this instrument is played by striking the two ends of the bamboo stick together.",yes,no,misaligned,playing_method,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test2.jpg,toka,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, cone-shaped instrument is made of bamboo and a small piece of metal or stone. It is blown to make a sharp, clicking sound.",yes,no,misaligned,material,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test2.jpg,toka,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is played by holding both ends and vibrating the vibrating bar while plucking the ring.,yes,no,misaligned,playing_method,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test2.jpg,toka,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test2.jpg,toka,q7,playing_method,How is this instrument played?,This instrument is played by clapping the two bamboo pieces against each other.,This instrument is played by striking the two metal bars against each other.,yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test3.jpg,toka,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small conical wind instrument is blown to produce a sharp, piercing sound. It is played by both men and women.",yes,no,misaligned,sound,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test3.jpg,toka,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made from a single piece of bamboo and consists of two vibrating pieces connected by a string.,yes,no,misaligned,material,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test3.jpg,toka,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test4.jpg,toka,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends.",During which festival is this instrument played?,yes,no,misaligned,festival,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test4.jpg,toka,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test4.jpg,toka,q7,playing_method,How is this instrument played?,This instrument is played by clapping the two bamboo pieces against each other.,This instrument is played by striking the two bamboo pieces together near the mouthpiece.,yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test5.jpg,toka,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is made by splitting a bamboo stick lengthwise and wrapping it with cloth.,yes,no,misaligned,material,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test5.jpg,toka,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test1.jpg,khutitaal,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, round, flat percussion instrument is made from a split bamboo or wood cylinder. It is played by striking both ends of the instrument against each other.",yes,no,misaligned,instrument_type,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test1.jpg,khutitaal,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,"This small, conical percussion instrument is made from the hollowed horn or bone of a cattle or buffalo. It is traditionally played during Rongali Bihu celebrations.",yes,no,misaligned,material,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test1.jpg,khutitaal,q4,parts,Name the major parts of this instrument.,The main parts of this instrument are two small cymbal discs and connecting cord.,The main parts of this instrument are two small metal discs and connecting cord.,yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test1.jpg,khutitaal,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,"This small, round, conical percussion instrument is traditionally made from the hollowed stem of a grass plant or bamboo.",yes,no,misaligned,instrument_type,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test1.jpg,khutitaal,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.",yes,no,aligned,,correct,partial,intact,absent,none,Partial Answer,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test2.jpg,khutitaal,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test2.jpg,khutitaal,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.",yes,no,aligned,,correct,partial,intact,absent,none,Partial Answer,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test3.jpg,khutitaal,q5,sound,What sound does this instrument produce?,"This instrument produces a bright, high-pitched ringing sound.","This instrument produces a sharp, metallic ringing sound.",yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test3.jpg,khutitaal,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by men.,yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test3.jpg,khutitaal,q8,instrument_type,What type of musical instrument is this?,This is a small paired metal cymbal percussion instrument.,"During performances, this instrument is used in pairs and is played by striking both cymbals against each other.",yes,no,aligned,,correct,partial,intact,absent,present,Partial Answer,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test3.jpg,khutitaal,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.",yes,no,aligned,,correct,partial,intact,absent,none,Partial Answer,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test4.jpg,khutitaal,q4,parts,Name the major parts of this instrument.,The main parts of this instrument are two small cymbal discs and connecting cord.,During which season is this instrument played traditionally?,yes,no,misaligned,festival,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test4.jpg,khutitaal,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,"During festivals, this instrument is traditionally played by young men.",yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test4.jpg,khutitaal,q8,instrument_type,What type of musical instrument is this?,This is a small paired metal cymbal percussion instrument.,"During performances, this instrument is played by striking both cymbal heads together or hitting one head against a hard surface.",yes,no,misaligned,playing_method,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test4.jpg,khutitaal,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.",yes,no,aligned,,correct,partial,intact,absent,none,Partial Answer,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test5.jpg,khutitaal,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This small flat percussion instrument is traditionally made from the hollowed horn or bone of a cattle or buffalo. It is played by striking two pieces of the instrument together or against a hard surface.,yes,no,misaligned,material,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test5.jpg,khutitaal,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,"This small, conical percussion instrument is traditionally played by men during Rongali Bihu. It is made by shaping a piece of clay or wood into a cone shape and hitting it with the palm of the hand or a stick.",yes,no,misaligned,traditional_player,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test5.jpg,khutitaal,q4,parts,Name the major parts of this instrument.,The main parts of this instrument are two small cymbal discs and connecting cord.,The main parts of this instrument are two small metal discs and connecting cord.,yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test5.jpg,khutitaal,q5,sound,What sound does this instrument produce?,"This instrument produces a bright, high-pitched ringing sound.","This instrument produces a sharp, dry clicking sound.",yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test5.jpg,khutitaal,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/khutitaal/test/khutitaal_test5.jpg,khutitaal,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by both men and women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music.",yes,no,aligned,,correct,partial,intact,absent,none,Partial Answer,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/xutuli/test/xutuli_test1.jpg,xutuli,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is played by blowing air through the blow hole and covering finger holes.,yes,no,misaligned,playing_method,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/xutuli/test/xutuli_test1.jpg,xutuli,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are hollow body, blow end, and finger holes.",During which festival is this instrument played?,yes,no,misaligned,festival,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/xutuli/test/xutuli_test1.jpg,xutuli,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/xutuli/test/xutuli_test2.jpg,xutuli,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, conical instrument is made from a single piece of stone or bamboo and is traditionally played by women. It is played by blowing air through the narrow end while clapping the two larger ends together.",yes,no,misaligned,material,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/xutuli/test/xutuli_test2.jpg,xutuli,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is played by blowing air into the blow end and covering the finger holes.,yes,no,misaligned,playing_method,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/xutuli/test/xutuli_test2.jpg,xutuli,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,yes,no,aligned,,incorrect,not_applicable,intact,absent,present,Hallucination,False,False,
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/xutuli/test/xutuli_test3.jpg,xutuli,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This small mouthpiece wind instrument is made of bamboo and a piece of cloth or leather. It is blown from the bottom end.,yes,no,misaligned,material,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False,
