image,instrument,question_id,concept,prediction,axis_1_alignment,axis_2a_content,axis_2b_hedge,axis_3_correctness,axis_4_completeness,axis_5_termination,axis_6_repetition,axis_7_unsupported,core_category,needs_review,toka_q9_limitation
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test2.jpg,bahi,q2,origin,This instrument is made by splitting a bamboo cane lengthwise and inserting small pieces of bamboo inside.,misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test2.jpg,bahi,q3,material,This instrument is made of bamboo.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test2.jpg,bahi,q4,parts,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test2.jpg,bahi,q5,sound,The thin end of this instrument is blown to produce sound. It is played by blowing air through the narrow end and covering the open end with the lips.,misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test2.jpg,bahi,q6,traditional_player,This instrument is traditionally played by men.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test2.jpg,bahi,q7,playing_method,This instrument is played by placing both mouthpieces in the airflow and covering finger holes with one hand while covering the other mouthpiece with the other hand.,aligned,yes,no,incorrect,not_applicable,intact,absent,present,Hallucination,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test2.jpg,bahi,q8,instrument_type,This is a transverse bamboo flute instrument. It is made from bamboo and played by blowing air across the mouthpiece.,aligned,yes,no,correct,complete,intact,absent,present,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test2.jpg,bahi,q9,description,"The Bahi is a transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test3.jpg,bahi,q1,festival,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women.,aligned,yes,no,correct,complete,intact,absent,present,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test3.jpg,bahi,q2,origin,This instrument is made from a single piece of bamboo and consists of two separate pieces connected by a joint.,misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test3.jpg,bahi,q3,material,This instrument is made of bamboo.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test3.jpg,bahi,q4,parts,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test3.jpg,bahi,q5,sound,"This instrument produces a soft, melodic, flute-like sound.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test3.jpg,bahi,q6,traditional_player,This instrument is traditionally played by men.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test3.jpg,bahi,q7,playing_method,This instrument is played by blowing air across the blow hole and covering finger holes.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test3.jpg,bahi,q8,instrument_type,This is a transverse bamboo flute instrument. It is played by blowing air across the mouthpiece and covering finger holes.,aligned,yes,no,correct,complete,intact,absent,present,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test3.jpg,bahi,q9,description,"The Bahi is a transverse-assamese wind instrument made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test4.jpg,bahi,q1,festival,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women.,aligned,yes,no,correct,complete,intact,absent,present,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test4.jpg,bahi,q2,origin,This instrument is made from a single piece of bamboo and has two blow holes. It is played by blowing air through both ends.,misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test4.jpg,bahi,q3,material,This instrument is made of bamboo.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test4.jpg,bahi,q4,parts,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test4.jpg,bahi,q5,sound,"This instrument produces a soft, melodic, flute-like sound.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test4.jpg,bahi,q6,traditional_player,This instrument is traditionally played by men.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test4.jpg,bahi,q7,playing_method,This instrument is played by blowing air across the blow hole and covering finger holes.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test4.jpg,bahi,q8,instrument_type,This is a transverse bamboo flute instrument. It is played by blowing air across the mouthpiece and covering finger holes.,aligned,yes,no,correct,complete,intact,absent,present,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test4.jpg,bahi,q9,description,"The Bahi is a transverse bamboo flute that is traditionally made from a single piece of bamboo. It is played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. The Bahi is one of the oldest transverse flutes in Assamese folk music and is traditionally played by men. It is closely associated with pastoral and folk music traditions of Assam. Its soft, flute-like tone makes it suitable for accompanying other rhythmic instruments during Bihu celebrations.",aligned,yes,no,correct,partial,intact,absent,none,Partial Answer,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test5.jpg,bahi,q1,festival,This instrument is blown to produce a high pitched wailing sound. It is played by both men and women.,misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test5.jpg,bahi,q2,origin,"This instrument is made from a single piece of bamboo and is blown to produce a high-pitched, sharp tone.",misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test5.jpg,bahi,q3,material,This instrument is made of bamboo.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test5.jpg,bahi,q4,parts,During which festival is this instrument played?,misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test5.jpg,bahi,q5,sound,"This instrument produces a soft, melodic, flute-like sound.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test5.jpg,bahi,q6,traditional_player,This instrument is traditionally played by men.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test5.jpg,bahi,q7,playing_method,This instrument is played by blowing air across the blow hole and covering finger holes.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test5.jpg,bahi,q8,instrument_type,This is a transverse bamboo flute instrument. It is played by blowing air across the open end and covering finger holes.,aligned,yes,no,correct,complete,intact,absent,present,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/bahi/test/bahi_test5.jpg,bahi,q9,description,"The Bahi is a transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test1.jpg,toka,q1,festival,"This small bamboo flute is blown to produce a sharp, piercing sound. It is traditionally played during Rongali Bihu.",aligned,yes,no,correct,complete,intact,absent,present,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test1.jpg,toka,q2,origin,This instrument is played by holding both ends and vibrating the vibrating bar by striking it against the other end or a hard surface.,misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test1.jpg,toka,q3,material,This instrument is made of bamboo.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test1.jpg,toka,q4,parts,This instrument is played by striking both ends with the fingers.,misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test1.jpg,toka,q5,sound,"This instrument produces a sharp, dry clicking sound.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test1.jpg,toka,q6,traditional_player,This instrument is traditionally played by women.,aligned,yes,no,incorrect,not_applicable,intact,absent,present,Hallucination,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test1.jpg,toka,q7,playing_method,This instrument is played by striking both ends of the bamboo piece against each other.,aligned,yes,no,incorrect,not_applicable,intact,absent,present,Hallucination,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test1.jpg,toka,q8,instrument_type,"During performances, this instrument is played by striking the two ends of the bamboo stick together.",misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test1.jpg,toka,q9,description,"The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music. It is one of the earliest percussion instruments used in Assamese folk music. The small size of the Toka makes it easy to carry and play, making it popular among performers.",aligned,yes,no,correct,complete,intact,absent,present,Correct,False,True
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test2.jpg,toka,q1,festival,"This small, cone-shaped instrument is made of bamboo and a small piece of metal or stone. It is blown to make a sharp, clicking sound.",misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test2.jpg,toka,q2,origin,This instrument is played by holding both ends and vibrating the vibrating bar while plucking the ring.,misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test2.jpg,toka,q3,material,This instrument is made of bamboo.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test2.jpg,toka,q4,parts,"The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test2.jpg,toka,q5,sound,"This instrument produces a sharp, dry clicking sound.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test2.jpg,toka,q6,traditional_player,This instrument is traditionally played by women.,aligned,yes,no,incorrect,not_applicable,intact,absent,present,Hallucination,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test2.jpg,toka,q7,playing_method,This instrument is played by striking the two metal bars against each other.,aligned,yes,no,incorrect,not_applicable,intact,absent,present,Hallucination,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test2.jpg,toka,q8,instrument_type,"This is a bamboo clapper percussion instrument. It consists of two bamboo pieces that are struck against each other to produce a sharp, dry sound.",aligned,yes,no,correct,complete,intact,absent,present,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test2.jpg,toka,q9,description,"The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,True
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test3.jpg,toka,q1,festival,"This small conical wind instrument is blown to produce a sharp, piercing sound. It is played by both men and women.",misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test3.jpg,toka,q2,origin,This instrument is made from a single piece of bamboo and consists of two vibrating pieces connected by a string.,misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test3.jpg,toka,q3,material,This instrument is made of bamboo.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test3.jpg,toka,q4,parts,"The main parts of this instrument are two bamboo pieces, a hinged joint, and striking ends.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test3.jpg,toka,q5,sound,"This instrument produces a sharp, dry clicking sound.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test3.jpg,toka,q6,traditional_player,This instrument is traditionally played by women.,aligned,yes,no,incorrect,not_applicable,intact,absent,present,Hallucination,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test3.jpg,toka,q7,playing_method,This instrument is played by clapping the two bamboo pieces together.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test3.jpg,toka,q8,instrument_type,This is a bamboo clapper percussion instrument played by striking the two ends together. It is traditionally played during Rongali Bihu festivals.,aligned,yes,no,correct,complete,intact,absent,present,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test3.jpg,toka,q9,description,"The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music. It is one of the earliest percussion instruments used in Assamese folk music. The Toka's unique construction and sound make it an important part of Assamese cultural heritage.",aligned,yes,no,correct,complete,intact,absent,present,Correct,False,True
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test4.jpg,toka,q1,festival,This instrument is played during Rongali Bihu which is the spring festival of Assam.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test4.jpg,toka,q2,origin,This instrument originated in the rural communities of Assam.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test4.jpg,toka,q3,material,This instrument is made of bamboo.,aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test4.jpg,toka,q4,parts,During which festival is this instrument played?,misaligned,yes,no,not_applicable,not_applicable,intact,absent,present,Question Misunderstanding,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test4.jpg,toka,q5,sound,"This instrument produces a sharp, dry clicking sound.",aligned,yes,no,correct,complete,intact,absent,none,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test4.jpg,toka,q6,traditional_player,This instrument is traditionally played by women.,aligned,yes,no,incorrect,not_applicable,intact,absent,present,Hallucination,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test4.jpg,toka,q7,playing_method,This instrument is played by striking the two bamboo pieces together near the mouthpiece.,aligned,yes,no,incorrect,not_applicable,intact,absent,present,Hallucination,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test4.jpg,toka,q8,instrument_type,"This is a bamboo clapper percussion instrument. It consists of two bamboo pieces that are struck against each other to produce a sharp, dry sound.",aligned,yes,no,correct,complete,intact,absent,present,Correct,False,False
/kaggle/input/datasets/bbeastboy/assamese-instrument-vlm-datasetqwen2-5-vl-3b/kaggle_dataset32/dataset_32images/toka/test/toka_test4.jpg,toka,q9,description,"The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music. It is one of the earliest percussion instruments used in Assamese music. The small size of the Toka makes it suitable for accompanying other instruments during live performances.",aligned,yes,no,correct,complete,intact,absent,present,Correct,False,True
