sample_id,instrument,question_id,concept,question,ground_truth,prediction,lave_score,reason
17,bahi,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Bahi is a traditional Assamese transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.","The Bahi is a transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.",1,"The predicted answer is identical to the ground truth and accurately addresses all parts of the question regarding the instrument's description, cultural significance, and role in Assamese music."
18,bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women.,1,The prediction correctly identifies the festival mentioned in the ground truth and provides additional relevant information without contradicting the answer.
19,bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made from a single piece of bamboo and consists of two separate pieces connected by a joint.,0,The prediction describes the physical construction of the instrument rather than answering the question about its geographical origin.
20,bahi,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1,The predicted answer is identical to the ground truth and correctly identifies the material.
21,bahi,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.","The main parts of this instrument are bamboo tube body, blow hole and finger holes.",1,The predicted answer is identical to the ground truth and correctly identifies the major parts of the instrument.
22,bahi,q5,sound,What sound does this instrument produce?,"This instrument produces a soft, melodic, flute-like sound.","This instrument produces a soft, melodic, flute-like sound.",1,The predicted answer is identical to the ground truth and accurately describes the sound of the instrument.
23,bahi,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1,The predicted answer is identical to the ground truth and correctly answers the question.
24,bahi,q7,playing_method,How is this instrument played?,This instrument is played by blowing air across the blow hole and covering finger holes.,This instrument is played by blowing air across the blow hole and covering finger holes.,1,The predicted answer is identical to the ground truth and accurately describes how the instrument is played.
25,bahi,q8,instrument_type,What type of musical instrument is this?,This is a transverse bamboo flute instrument.,This is a transverse bamboo flute instrument. It is played by blowing air across the mouthpiece and covering finger holes.,1,"The prediction correctly identifies the instrument and includes the ground truth information, while adding relevant context that does not contradict the answer."
26,bahi,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Bahi is a traditional Assamese transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.","The Bahi is a transverse-assamese wind instrument made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.",1,"The prediction is nearly identical to the ground truth and accurately describes the instrument, its cultural significance, and its role in Assamese music."
27,bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam. It is played by both men and women.,1,The prediction correctly identifies the festival mentioned in the ground truth and provides additional relevant information without contradicting the answer.
28,bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made from a single piece of bamboo and has two blow holes. It is played by blowing air through both ends.,0,The prediction describes the physical characteristics and playing method of the instrument but fails to answer the question regarding its origin.
29,bahi,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1,The predicted answer is identical to the ground truth and correctly identifies the material.
30,bahi,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.","The main parts of this instrument are bamboo tube body, blow hole and finger holes.",1,The predicted answer is identical to the ground truth and correctly identifies the major parts of the instrument.
31,bahi,q5,sound,What sound does this instrument produce?,"This instrument produces a soft, melodic, flute-like sound.","This instrument produces a soft, melodic, flute-like sound.",1,The predicted answer is identical to the ground truth and accurately describes the sound of the instrument.
32,bahi,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1,The predicted answer is identical to the ground truth and correctly answers the question.
33,bahi,q7,playing_method,How is this instrument played?,This instrument is played by blowing air across the blow hole and covering finger holes.,This instrument is played by blowing air across the blow hole and covering finger holes.,1,The predicted answer is identical to the ground truth and accurately describes how the instrument is played.
34,bahi,q8,instrument_type,What type of musical instrument is this?,This is a transverse bamboo flute instrument.,This is a transverse bamboo flute instrument. It is played by blowing air across the mouthpiece and covering finger holes.,1,"The prediction correctly identifies the instrument and includes the ground truth information, while adding relevant context that does not contradict the answer."
35,bahi,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Bahi is a traditional Assamese transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.","The Bahi is a transverse bamboo flute that is traditionally made from a single piece of bamboo. It is played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. The Bahi is one of the oldest transverse flutes in Assamese folk music and is traditionally played by men. It is closely associated with pastoral and folk music traditions of Assam. Its soft, flute-like tone makes it suitable for accompanying other rhythmic instruments during Bihu celebrations.",1,"The prediction accurately describes the Bahi, its construction, its role in Assamese music, and its cultural significance, aligning well with the ground truth."
36,bahi,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is blown to produce a high pitched wailing sound. It is played by both men and women.,0,"The prediction fails to answer the question about the festival, instead describing the sound and players of the instrument."
37,bahi,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,"This instrument is made from a single piece of bamboo and is blown to produce a high-pitched, sharp tone.",0,The prediction describes the physical characteristics and sound of the instrument rather than answering the question about its origin.
38,bahi,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1,The predicted answer is identical to the ground truth and correctly identifies the material.
39,bahi,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are bamboo tube body, blow hole and finger holes.",During which festival is this instrument played?,0,The predicted answer is a question that does not address the original question about the parts of the instrument.
40,bahi,q5,sound,What sound does this instrument produce?,"This instrument produces a soft, melodic, flute-like sound.","This instrument produces a soft, melodic, flute-like sound.",1,The predicted answer is identical to the ground truth and accurately describes the sound of the instrument.
41,bahi,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by men.,This instrument is traditionally played by men.,1,The predicted answer is identical to the ground truth and correctly answers the question.
42,bahi,q7,playing_method,How is this instrument played?,This instrument is played by blowing air across the blow hole and covering finger holes.,This instrument is played by blowing air across the blow hole and covering finger holes.,1,The predicted answer is identical to the ground truth and accurately describes how the instrument is played.
43,bahi,q8,instrument_type,What type of musical instrument is this?,This is a transverse bamboo flute instrument.,This is a transverse bamboo flute instrument. It is played by blowing air across the open end and covering finger holes.,1,The prediction correctly identifies the instrument and provides additional accurate information that is consistent with the ground truth.
44,bahi,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Bahi is a traditional Assamese transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.","The Bahi is a transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. It is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam.",1,"The predicted answer is identical to the ground truth and accurately addresses all parts of the question regarding the instrument's description, cultural significance, and role in Assamese music."
45,toka,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small bamboo flute is blown to produce a sharp, piercing sound. It is traditionally played during Rongali Bihu.",1,"The prediction correctly identifies the festival (Rongali Bihu) mentioned in the ground truth, even though it includes additional descriptive information."
46,toka,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is played by holding both ends and vibrating the vibrating bar by striking it against the other end or a hard surface.,0,The prediction describes how the instrument is played rather than answering the question about its origin.
47,toka,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1,The predicted answer is identical to the ground truth and correctly identifies the material.
48,toka,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends.",This instrument is played by striking both ends with the fingers.,0,The prediction describes how the instrument is played rather than naming its major parts as requested by the question.
49,toka,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, dry clicking sound.","This instrument produces a sharp, dry clicking sound.",1,The predicted answer is identical to the ground truth and accurately describes the sound of the instrument.
50,toka,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0,"The ground truth states that the instrument is played by both men and women, while the prediction incorrectly limits it to only women."
51,toka,q7,playing_method,How is this instrument played?,This instrument is played by clapping the two bamboo pieces against each other.,This instrument is played by striking both ends of the bamboo piece against each other.,1,"The predicted answer accurately describes the mechanism of playing the instrument, which is semantically equivalent to the ground truth."
52,toka,q8,instrument_type,What type of musical instrument is this?,This is a bamboo clapper percussion instrument.,"During performances, this instrument is played by striking the two ends of the bamboo stick together.",0,The prediction describes how the instrument is played rather than identifying the type of musical instrument as requested by the question.
53,toka,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music. It is one of the earliest percussion instruments used in Assamese folk music. The small size of the Toka makes it easy to carry and play, making it popular among performers.",1,"The prediction contains all the information from the ground truth and adds relevant, accurate supplementary details about the instrument."
54,toka,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, cone-shaped instrument is made of bamboo and a small piece of metal or stone. It is blown to make a sharp, clicking sound.",0,The prediction describes the physical characteristics and sound of the instrument but fails to answer the question regarding which festival it is played in.
55,toka,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is played by holding both ends and vibrating the vibrating bar while plucking the ring.,0,The prediction describes how the instrument is played rather than answering the question about its origin.
56,toka,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1,The predicted answer is identical to the ground truth and correctly identifies the material.
57,toka,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends.","The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends.",1,The predicted answer is identical to the ground truth and accurately identifies the parts of the instrument.
58,toka,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, dry clicking sound.","This instrument produces a sharp, dry clicking sound.",1,The predicted answer is identical to the ground truth and accurately describes the sound of the instrument.
59,toka,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0,"The ground truth states that the instrument is played by both men and women, while the prediction incorrectly limits it to only women."
60,toka,q7,playing_method,How is this instrument played?,This instrument is played by clapping the two bamboo pieces against each other.,This instrument is played by striking the two metal bars against each other.,0,"The prediction incorrectly identifies the material of the instrument as metal bars instead of bamboo pieces, which is a significant factual error."
61,toka,q8,instrument_type,What type of musical instrument is this?,This is a bamboo clapper percussion instrument.,"This is a bamboo clapper percussion instrument. It consists of two bamboo pieces that are struck against each other to produce a sharp, dry sound.",1,The prediction correctly identifies the instrument and provides additional accurate context that aligns with the ground truth.
62,toka,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music.",1,"The predicted answer is identical to the ground truth and accurately describes the instrument, its cultural significance, and its role in Assamese music."
63,toka,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small conical wind instrument is blown to produce a sharp, piercing sound. It is played by both men and women.",0,The prediction describes the instrument's sound and usage but fails to answer the specific question about which festival it is played in.
64,toka,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument is made from a single piece of bamboo and consists of two vibrating pieces connected by a string.,0,The prediction describes the physical construction of the instrument rather than answering the question about its geographical origin.
65,toka,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1,The predicted answer is identical to the ground truth and correctly identifies the material.
66,toka,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends.","The main parts of this instrument are two bamboo pieces, a hinged joint, and striking ends.",1,"The predicted answer is semantically identical to the ground truth, with only a minor grammatical addition of an article."
67,toka,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, dry clicking sound.","This instrument produces a sharp, dry clicking sound.",1,The predicted answer is identical to the ground truth and accurately describes the sound of the instrument.
68,toka,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0,"The ground truth states that the instrument is played by both men and women, while the prediction incorrectly limits it to only women."
69,toka,q7,playing_method,How is this instrument played?,This instrument is played by clapping the two bamboo pieces against each other.,This instrument is played by clapping the two bamboo pieces together.,1,"The predicted answer is semantically identical to the ground truth, conveying the same method of playing the instrument."
70,toka,q8,instrument_type,What type of musical instrument is this?,This is a bamboo clapper percussion instrument.,This is a bamboo clapper percussion instrument played by striking the two ends together. It is traditionally played during Rongali Bihu festivals.,1,The prediction correctly identifies the instrument and provides additional accurate context that aligns with the ground truth.
71,toka,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music. It is one of the earliest percussion instruments used in Assamese folk music. The Toka's unique construction and sound make it an important part of Assamese cultural heritage.",1,"The prediction contains all the information from the ground truth and adds relevant, accurate context about the instrument's historical and cultural importance."
72,toka,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is played during Rongali Bihu which is the spring festival of Assam.,1,The predicted answer is identical in meaning to the ground truth and correctly identifies the festival.
73,toka,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument originated in the rural communities of Assam.,1,The predicted answer accurately conveys the information provided in the ground truth.
74,toka,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1,The predicted answer is identical to the ground truth and correctly identifies the material.
75,toka,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends.",During which festival is this instrument played?,0,The prediction ignores the question entirely and asks a different question instead of identifying the parts of the instrument.
76,toka,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, dry clicking sound.","This instrument produces a sharp, dry clicking sound.",1,The predicted answer is identical to the ground truth and accurately describes the sound of the instrument.
77,toka,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0,"The ground truth states that the instrument is played by both men and women, while the prediction incorrectly limits it to only women."
78,toka,q7,playing_method,How is this instrument played?,This instrument is played by clapping the two bamboo pieces against each other.,This instrument is played by striking the two bamboo pieces together near the mouthpiece.,1,"The prediction correctly identifies that the instrument is played by striking the bamboo pieces together, which is semantically aligned with the ground truth."
79,toka,q8,instrument_type,What type of musical instrument is this?,This is a bamboo clapper percussion instrument.,"This is a bamboo clapper percussion instrument. It consists of two bamboo pieces that are struck against each other to produce a sharp, dry sound.",1,The prediction correctly identifies the instrument and provides additional accurate context that aligns with the ground truth.
80,toka,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music. It is one of the earliest percussion instruments used in Assamese music. The small size of the Toka makes it suitable for accompanying other instruments during live performances.",1,"The prediction accurately describes the instrument, its cultural significance, and its role in Assamese music, while also providing additional correct context."
81,toka,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,This instrument is made by splitting a bamboo stick lengthwise and wrapping it with cloth.,0,The predicted answer describes the construction of the instrument rather than answering the question about which festival it is played in.
82,toka,q2,origin,Where did this instrument originate?,It originated in the rural communities of Assam.,This instrument originated in the rural communities of Assam. It is played by plucking both ends of the bamboo tube.,1,"The prediction correctly identifies the origin of the instrument as stated in the ground truth, and the additional information provided does not contradict the answer."
83,toka,q3,material,What material is this instrument made of?,This instrument is made of bamboo.,This instrument is made of bamboo.,1,The predicted answer is identical to the ground truth and correctly identifies the material.
84,toka,q4,parts,Name the major parts of this instrument.,"The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends.","The main parts of this instrument are two bamboo pieces, hinged joint, and striking ends.",1,The predicted answer is identical to the ground truth and accurately identifies the parts of the instrument.
85,toka,q5,sound,What sound does this instrument produce?,"This instrument produces a sharp, dry clicking sound.","This instrument produces a sharp, dry clicking sound.",1,The predicted answer is identical to the ground truth and accurately describes the sound of the instrument.
86,toka,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,This instrument is traditionally played by women.,0,"The ground truth states that the instrument is played by both men and women, while the prediction incorrectly limits it to only women."
87,toka,q7,playing_method,How is this instrument played?,This instrument is played by clapping the two bamboo pieces against each other.,This instrument is played by striking the two bamboo pieces together.,1,"The predicted answer is semantically equivalent to the ground truth, as striking and clapping are synonymous in the context of playing this instrument."
88,toka,q8,instrument_type,What type of musical instrument is this?,This is a bamboo clapper percussion instrument.,"This is a bamboo clapper percussion instrument. It consists of two bamboo pieces that are struck against each other to produce a sharp, dry sound.",1,The prediction correctly identifies the instrument and provides additional accurate context that aligns with the ground truth.
89,toka,q9,description,"Give a description of this instrument including its cultural significance, and role in Assamese music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music.","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music. It is one of the earliest percussion instruments used in Assamese folk music. The small size of the Toka makes it suitable for accompanying other instruments during live performances.",1,"The prediction contains all the information from the ground truth and adds relevant, accurate supplementary details about the instrument."
90,khutitaal,q1,festival,In which festival is this instrument played?,It is played during Rongali Bihu which is the spring festival of Assam.,"This small, round, flat percussion instrument is made from a split bamboo or wood cylinder. It is played by striking both ends of the instrument against each other.",0,The predicted answer describes the physical characteristics and playing method of the instrument but fails to answer the question regarding which festival it is played in.
91,khutitaal,q2,origin,Where did this instrument originate?,It originated in the Brahmaputra valley of Assam.,"This small, conical percussion instrument is made from the hollowed horn or bone of a cattle or buffalo. It is traditionally played during Rongali Bihu celebrations.",0,The prediction describes the physical composition and usage of the instrument but fails to answer the question regarding its geographical origin.
92,khutitaal,q3,material,What material is this instrument made of?,This instrument is made of bell metal. ,This instrument is made of bell metal.,1,The predicted answer is identical to the ground truth and correctly identifies the material of the instrument.
93,khutitaal,q4,parts,Name the major parts of this instrument.,The main parts of this instrument are two small cymbal discs and connecting cord.,The main parts of this instrument are two small metal discs and connecting cord.,1,"The prediction is semantically equivalent to the ground truth, as 'metal discs' accurately describes the 'cymbal discs' of the instrument."
94,khutitaal,q5,sound,What sound does this instrument produce?,"This instrument produces a bright, high-pitched ringing sound.","This instrument produces a sharp, ringing high-pitched sound.",1,"The predicted answer is semantically equivalent to the ground truth, describing the sound as sharp, ringing, and high-pitched."
95,khutitaal,q6,traditional_player,Which gender traditionally plays this instrument?,This instrument is traditionally played by both men and women.,"This small, round, conical percussion instrument is traditionally made from the hollowed stem of a grass plant or bamboo.",0,The prediction completely ignores the question about gender and instead provides irrelevant information about the instrument's construction.
96,khutitaal,q7,playing_method,How is this instrument played?,This instrument is played by striking the two metal discs against each other.,This instrument is played by striking the two metal discs against each other.,1,The predicted answer is identical to the ground truth and accurately describes how the instrument is played.
97,khutitaal,q8,instrument_type,What type of musical instrument is this?,This is a small paired metal cymbal percussion instrument.,"This is a small paired metal cymbal percussion instrument. It consists of two small round metal plates that are struck against each other to produce a sharp, dry sound.",1,The prediction contains the exact ground truth information and provides additional accurate descriptive details about the instrument.
