Image_Name,Instrument,Question,Answer
gogona1.jpg,Gogona,Which gender usually plays this instrument?,Traditionally played by young women.
gogona1.jpg,Gogona,What is the interaction region of this instrument?,Played by plucking the vibrating tongue near the mouth.
gogona1.jpg,Gogona,What type of instrument is this?,A mouth-resonated plucked idiophone instrument.
gogona1.jpg,Gogona,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Gogona is a small mouth-resonated plucked idiophone traditionally made from bamboo and associated with the tribal communities of Assam. It is played by holding the frame near the mouth and plucking the vibrating tongue, using the oral cavity as a resonance chamber to amplify and shape its soft, twangy sound. The Gogona is one of the few Assamese instruments traditionally played by young women during Rongali Bihu. Its unique playing technique make it one of the most culturally distinctive instruments of Assam."
toka1.jpg,Toka,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
toka1.jpg,Toka,Where did this instrument originate?,Originated in the rural communities of Assam.
toka1.jpg,Toka,What material is this instrument made of?,Made of bamboo.
toka1.jpg,Toka,What are the parts of this instrument?,"Main parts: two bamboo pieces, hinged joint, and striking ends."
toka1.jpg,Toka,What sound does this instrument produce?,"Produces a sharp, dry clicking sound."
toka1.jpg,Toka,Which gender usually plays this instrument?,Traditionally played by both men and women.
toka1.jpg,Toka,What is the interaction region of this instrument?,Played by clapping the two bamboo pieces against each other.
toka1.jpg,Toka,What type of instrument is this?,A bamboo clapper percussion instrument.
toka1.jpg,Toka,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Toka is a traditional Assamese percussion instrument made entirely from bamboo, consisting of two pieces joined and clapped together rhythmically. Originating in the rural communities of Assam, it is a commonly used folk instrument used during Rongali Bihu celebrations. Its sharp, dry clicking sound provides rhythmic accompaniment that complements heavier instruments like the Dhol. Toka is played by both men and women, making it an inclusive instrument in Assamese folk music."
khutitaal1.jpg,Khutitaal,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
khutitaal1.jpg,Khutitaal,Where did this instrument originate?,Originated in the Brahmaputra valley of Assam.
khutitaal1.jpg,Khutitaal,What material is this instrument made of?,Made of bell metal (brass alloy).
khutitaal1.jpg,Khutitaal,What are the parts of this instrument?,Main parts: two small cymbal discs and connecting cord.
khutitaal1.jpg,Khutitaal,What sound does this instrument produce?,"Produces a bright, high-pitched ringing sound."
khutitaal1.jpg,Khutitaal,Which gender usually plays this instrument?,Traditionally played by both men and women.
khutitaal1.jpg,Khutitaal,What is the interaction region of this instrument?,Played by striking the two metal discs against each other.
khutitaal1.jpg,Khutitaal,What type of instrument is this?,A small paired metal cymbal percussion instrument.
khutitaal1.jpg,Khutitaal,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Khuti-Taal is a small paired cymbal instrument made of bell metal, a brass alloy traditionally crafted in the Brahmaputra valley of Assam. It consists of two small metal discs connected by a cord and struck together to produce a bright, high-pitched ringing sound that provides rhythmic accompaniment during Bihu performances. The Khuti-Taal is traditionally played by women and is commonly used alongside the Dhol and Pepa during Rongali Bihu performances. Its metallic timbre and compact size make it an important rhythm-keeping instrument in Assamese folk music."
bahi1.jpg,Bahi,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
bahi1.jpg,Bahi,Where did this instrument originate?,Originated in the rural communities of Assam.
bahi1.jpg,Bahi,What material is this instrument made of?,Made of bamboo.
bahi1.jpg,Bahi,What are the parts of this instrument?,"Main parts: bamboo tube body, blow hole, and finger holes."
bahi1.jpg,Bahi,What sound does this instrument produce?,"Produces a soft, melodic, flute-like sound."
bahi1.jpg,Bahi,Which gender usually plays this instrument?,Traditionally played by men.
bahi1.jpg,Bahi,What is the interaction region of this instrument?,Played by blowing air across the blow hole and covering finger holes.
bahi1.jpg,Bahi,What type of instrument is this?,A transverse bamboo flute instrument.
bahi1.jpg,Bahi,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Bahi is a traditional Assamese transverse flute made entirely from bamboo, played by blowing air across a side blow hole while controlling pitch through finger holes along the tube. Originating in the rural communities of Assam, it is one of the oldest melodic instruments in Assamese folk music and is prominently used during Rongali Bihu celebrations. Unlike the rhythm-keeping instruments of the Bihu ensemble, the Bahi carries the melodic layer with its soft, flute-like tone. It is traditionally played by men and is closely associated with pastoral and folk music traditions of Assam."
xutuli1.jpg,Xutuli,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
xutuli1.jpg,Xutuli,Where did this instrument originate?,Originated in the rural communities of Assam.
xutuli1.jpg,Xutuli,What material is this instrument made of?,Made of bamboo or baked clay.
xutuli1.jpg,Xutuli,What are the parts of this instrument?,"Main parts: hollow body, blow end, and finger holes."
xutuli1.jpg,Xutuli,What sound does this instrument produce?,"Produces a high-pitched, sharp whistling sound."
xutuli1.jpg,Xutuli,Which gender usually plays this instrument?,Traditionally played by both men and women.
xutuli1.jpg,Xutuli,What is the interaction region of this instrument?,Played by blowing air into the blow end and covering finger holes.
xutuli1.jpg,Xutuli,What type of instrument is this?,A small conical end-blown wind instrument.
xutuli1.jpg,Xutuli,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Xutuli is a small conical end-blown wind instrument traditionally made from bamboo or clay in the rural communities of Assam. It is played by blowing air directly into one end, producing a distinctly high-pitched, sharp whistling tone. It is an important traditional wind instrument in Assamese folk music. Its compact size and traditional use make it popular during Bihu celebrations.."
bihudhol2.jpg,Bihudhol,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
bihudhol2.jpg,Bihudhol,Where did this instrument originate?,Originated in the Brahmaputra valley of Assam.
bihudhol2.jpg,Bihudhol,What material is this instrument made of?,Made of wood and animal skin.
bihudhol2.jpg,Bihudhol,What are the parts of this instrument?,"Main parts: wooden barrel body, two leather drum heads, and carrying strap."
bihudhol2.jpg,Bihudhol,What sound does this instrument produce?,"Produces a deep, resonant booming sound."
bihudhol2.jpg,Bihudhol,Which gender usually plays this instrument?,Traditionally played by men.
bihudhol2.jpg,Bihudhol,What is the interaction region of this instrument?,Played by striking both drum heads with hands and a stick.
bihudhol2.jpg,Bihudhol,What type of instrument is this?,A double-headed barrel-shaped percussion instrument.
bihudhol2.jpg,Bihudhol,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. Originating in the Brahmaputra valley, it is crafted from wood and animal skin and holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings. It is exclusively played by men during festivals and community events."
bihudhol3.jpg,Bihudhol,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
bihudhol3.jpg,Bihudhol,Where did this instrument originate?,Originated in the Brahmaputra valley of Assam.
bihudhol3.jpg,Bihudhol,What material is this instrument made of?,Made of wood and animal skin.
bihudhol3.jpg,Bihudhol,What are the parts of this instrument?,"Main parts: wooden barrel body, two leather drum heads, and carrying strap."
bihudhol3.jpg,Bihudhol,What sound does this instrument produce?,"Produces a deep, resonant booming sound."
bihudhol3.jpg,Bihudhol,Which gender usually plays this instrument?,Traditionally played by men.
bihudhol3.jpg,Bihudhol,What is the interaction region of this instrument?,Played by striking both drum heads with hands and a stick.
bihudhol3.jpg,Bihudhol,What type of instrument is this?,A double-headed barrel-shaped percussion instrument.
bihudhol3.jpg,Bihudhol,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. Originating in the Brahmaputra valley, it is crafted from wood and animal skin and holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings. It is exclusively played by men during festivals and community events."
bihudhol4.jpg,Bihudhol,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
bihudhol4.jpg,Bihudhol,Where did this instrument originate?,Originated in the Brahmaputra valley of Assam.
bihudhol4.jpg,Bihudhol,What material is this instrument made of?,Made of wood and animal skin.
bihudhol4.jpg,Bihudhol,What are the parts of this instrument?,"Main parts: wooden barrel body, two leather drum heads, and carrying strap."
bihudhol4.jpg,Bihudhol,What sound does this instrument produce?,"Produces a deep, resonant booming sound."
bihudhol4.jpg,Bihudhol,Which gender usually plays this instrument?,Traditionally played by men.
bihudhol4.jpg,Bihudhol,What is the interaction region of this instrument?,Played by striking both drum heads with hands and a stick.
bihudhol4.jpg,Bihudhol,What type of instrument is this?,A double-headed barrel-shaped percussion instrument.
bihudhol4.jpg,Bihudhol,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. Originating in the Brahmaputra valley, it is crafted from wood and animal skin and holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings. It is exclusively played by men during festivals and community events."
bihudhol5.jpg,Bihudhol,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
bihudhol5.jpg,Bihudhol,Where did this instrument originate?,Originated in the Brahmaputra valley of Assam.
bihudhol5.jpg,Bihudhol,What material is this instrument made of?,Made of wood and animal skin.
bihudhol5.jpg,Bihudhol,What are the parts of this instrument?,"Main parts: wooden barrel body, two leather drum heads, and carrying strap."
bihudhol5.jpg,Bihudhol,What sound does this instrument produce?,"Produces a deep, resonant booming sound."
bihudhol5.jpg,Bihudhol,Which gender usually plays this instrument?,Traditionally played by men.
bihudhol5.jpg,Bihudhol,What is the interaction region of this instrument?,Played by striking both drum heads with hands and a stick.
bihudhol5.jpg,Bihudhol,What type of instrument is this?,A double-headed barrel-shaped percussion instrument.
bihudhol5.jpg,Bihudhol,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. Originating in the Brahmaputra valley, it is crafted from wood and animal skin and holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings. It is exclusively played by men during festivals and community events."
bihudhol6.jpg,Bihudhol,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
bihudhol6.jpg,Bihudhol,Where did this instrument originate?,Originated in the Brahmaputra valley of Assam.
bihudhol6.jpg,Bihudhol,What material is this instrument made of?,Made of wood and animal skin.
bihudhol6.jpg,Bihudhol,What are the parts of this instrument?,"Main parts: wooden barrel body, two leather drum heads, and carrying strap."
bihudhol6.jpg,Bihudhol,What sound does this instrument produce?,"Produces a deep, resonant booming sound."
bihudhol6.jpg,Bihudhol,Which gender usually plays this instrument?,Traditionally played by men.
bihudhol6.jpg,Bihudhol,What is the interaction region of this instrument?,Played by striking both drum heads with hands and a stick.
bihudhol6.jpg,Bihudhol,What type of instrument is this?,A double-headed barrel-shaped percussion instrument.
bihudhol6.jpg,Bihudhol,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. Originating in the Brahmaputra valley, it is crafted from wood and animal skin and holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings. It is exclusively played by men during festivals and community events."
bihudhol7.jpg,Bihudhol,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
bihudhol7.jpg,Bihudhol,Where did this instrument originate?,Originated in the Brahmaputra valley of Assam.
bihudhol7.jpg,Bihudhol,What material is this instrument made of?,Made of wood and animal skin.
bihudhol7.jpg,Bihudhol,What are the parts of this instrument?,"Main parts: wooden barrel body, two leather drum heads, and carrying strap."
bihudhol7.jpg,Bihudhol,What sound does this instrument produce?,"Produces a deep, resonant booming sound."
bihudhol7.jpg,Bihudhol,Which gender usually plays this instrument?,Traditionally played by men.
bihudhol7.jpg,Bihudhol,What is the interaction region of this instrument?,Played by striking both drum heads with hands and a stick.
bihudhol7.jpg,Bihudhol,What type of instrument is this?,A double-headed barrel-shaped percussion instrument.
bihudhol7.jpg,Bihudhol,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. Originating in the Brahmaputra valley, it is crafted from wood and animal skin and holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings. It is exclusively played by men during festivals and community events."
bihudhol8.jpg,Bihudhol,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
bihudhol8.jpg,Bihudhol,Where did this instrument originate?,Originated in the Brahmaputra valley of Assam.
bihudhol8.jpg,Bihudhol,What material is this instrument made of?,Made of wood and animal skin.
bihudhol8.jpg,Bihudhol,What are the parts of this instrument?,"Main parts: wooden barrel body, two leather drum heads, and carrying strap."
bihudhol8.jpg,Bihudhol,What sound does this instrument produce?,"Produces a deep, resonant booming sound."
bihudhol8.jpg,Bihudhol,Which gender usually plays this instrument?,Traditionally played by men.
bihudhol8.jpg,Bihudhol,What is the interaction region of this instrument?,Played by striking both drum heads with hands and a stick.
bihudhol8.jpg,Bihudhol,What type of instrument is this?,A double-headed barrel-shaped percussion instrument.
bihudhol8.jpg,Bihudhol,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. Originating in the Brahmaputra valley, it is crafted from wood and animal skin and holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings. It is exclusively played by men during festivals and community events."
bihudhol9.jpg,Bihudhol,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
bihudhol9.jpg,Bihudhol,Where did this instrument originate?,Originated in the Brahmaputra valley of Assam.
bihudhol9.jpg,Bihudhol,What material is this instrument made of?,Made of wood and animal skin.
bihudhol9.jpg,Bihudhol,What are the parts of this instrument?,"Main parts: wooden barrel body, two leather drum heads, and carrying strap."
bihudhol9.jpg,Bihudhol,What sound does this instrument produce?,"Produces a deep, resonant booming sound."
bihudhol9.jpg,Bihudhol,Which gender usually plays this instrument?,Traditionally played by men.
bihudhol9.jpg,Bihudhol,What is the interaction region of this instrument?,Played by striking both drum heads with hands and a stick.
bihudhol9.jpg,Bihudhol,What type of instrument is this?,A double-headed barrel-shaped percussion instrument.
bihudhol9.jpg,Bihudhol,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. Originating in the Brahmaputra valley, it is crafted from wood and animal skin and holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings. It is exclusively played by men during festivals and community events."
bihudhol10.jpg,Bihudhol,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
bihudhol10.jpg,Bihudhol,Where did this instrument originate?,Originated in the Brahmaputra valley of Assam.
bihudhol10.jpg,Bihudhol,What material is this instrument made of?,Made of wood and animal skin.
bihudhol10.jpg,Bihudhol,What are the parts of this instrument?,"Main parts: wooden barrel body, two leather drum heads, and carrying strap."
bihudhol10.jpg,Bihudhol,What sound does this instrument produce?,"Produces a deep, resonant booming sound."
bihudhol10.jpg,Bihudhol,Which gender usually plays this instrument?,Traditionally played by men.
bihudhol10.jpg,Bihudhol,What is the interaction region of this instrument?,Played by striking both drum heads with hands and a stick.
bihudhol10.jpg,Bihudhol,What type of instrument is this?,A double-headed barrel-shaped percussion instrument.
bihudhol10.jpg,Bihudhol,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Dhol is a double-headed barrel drum and the primary rhythm instrument of Assamese folk music. Originating in the Brahmaputra valley, it is crafted from wood and animal skin and holds central significance in Rongali Bihu celebrations. Its deep, booming beats accompany Bihu dance performances and are considered the heartbeat of Assamese cultural gatherings. It is exclusively played by men during festivals and community events."
pepa2.jpg,Pepa,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
pepa2.jpg,Pepa,Where did this instrument originate?,Originated in the plains of Assam.
pepa2.jpg,Pepa,What material is this instrument made of?,Made of buffalo horn and reed.
pepa2.jpg,Pepa,What are the parts of this instrument?,"Main parts: buffalo horn body, reed and mouthpiece opening."
pepa2.jpg,Pepa,What sound does this instrument produce?,"Produces a sharp, nasal, piercing sound."
pepa2.jpg,Pepa,Which gender usually plays this instrument?,Traditionally played by men.
pepa2.jpg,Pepa,What is the interaction region of this instrument?,Played by blowing air through the mouthpiece.
pepa2.jpg,Pepa,What type of instrument is this?,A free-reed wind instrument made from natural horn.
pepa2.jpg,Pepa,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. Originating in the plains of Assam, it is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities."
pepa3.jpg,Pepa,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
pepa3.jpg,Pepa,Where did this instrument originate?,Originated in the plains of Assam.
pepa3.jpg,Pepa,What material is this instrument made of?,Made of buffalo horn and reed.
pepa3.jpg,Pepa,What are the parts of this instrument?,"Main parts: buffalo horn body, reed and mouthpiece opening."
pepa3.jpg,Pepa,What sound does this instrument produce?,"Produces a sharp, nasal, piercing sound."
pepa3.jpg,Pepa,Which gender usually plays this instrument?,Traditionally played by men.
pepa3.jpg,Pepa,What is the interaction region of this instrument?,Played by blowing air through the mouthpiece.
pepa3.jpg,Pepa,What type of instrument is this?,A free-reed wind instrument made from natural horn.
pepa3.jpg,Pepa,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. Originating in the plains of Assam, it is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities."
pepa4.jpg,Pepa,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
pepa4.jpg,Pepa,Where did this instrument originate?,Originated in the plains of Assam.
pepa4.jpg,Pepa,What material is this instrument made of?,Made of buffalo horn and reed.
pepa4.jpg,Pepa,What are the parts of this instrument?,"Main parts: buffalo horn body, reed and mouthpiece opening."
pepa4.jpg,Pepa,What sound does this instrument produce?,"Produces a sharp, nasal, piercing sound."
pepa4.jpg,Pepa,Which gender usually plays this instrument?,Traditionally played by men.
pepa4.jpg,Pepa,What is the interaction region of this instrument?,Played by blowing air through the mouthpiece.
pepa4.jpg,Pepa,What type of instrument is this?,A free-reed wind instrument made from natural horn.
pepa4.jpg,Pepa,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. Originating in the plains of Assam, it is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities."
pepa5.jpg,Pepa,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
pepa5.jpg,Pepa,Where did this instrument originate?,Originated in the plains of Assam.
pepa5.jpg,Pepa,What material is this instrument made of?,Made of buffalo horn and reed.
pepa5.jpg,Pepa,What are the parts of this instrument?,"Main parts: buffalo horn body, reed and mouthpiece opening."
pepa5.jpg,Pepa,What sound does this instrument produce?,"Produces a sharp, nasal, piercing sound."
pepa5.jpg,Pepa,Which gender usually plays this instrument?,Traditionally played by men.
pepa5.jpg,Pepa,What is the interaction region of this instrument?,Played by blowing air through the mouthpiece.
pepa5.jpg,Pepa,What type of instrument is this?,A free-reed wind instrument made from natural horn.
pepa5.jpg,Pepa,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. Originating in the plains of Assam, it is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities."
pepa6.jpg,Pepa,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
pepa6.jpg,Pepa,Where did this instrument originate?,Originated in the plains of Assam.
pepa6.jpg,Pepa,What material is this instrument made of?,Made of buffalo horn and reed.
pepa6.jpg,Pepa,What are the parts of this instrument?,"Main parts: buffalo horn body, reed and mouthpiece opening."
pepa6.jpg,Pepa,What sound does this instrument produce?,"Produces a sharp, nasal, piercing sound."
pepa6.jpg,Pepa,Which gender usually plays this instrument?,Traditionally played by men.
pepa6.jpg,Pepa,What is the interaction region of this instrument?,Played by blowing air through the mouthpiece.
pepa6.jpg,Pepa,What type of instrument is this?,A free-reed wind instrument made from natural horn.
pepa6.jpg,Pepa,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. Originating in the plains of Assam, it is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities."
pepa7.jpg,Pepa,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
pepa7.jpg,Pepa,Where did this instrument originate?,Originated in the plains of Assam.
pepa7.jpg,Pepa,What material is this instrument made of?,Made of buffalo horn and reed.
pepa7.jpg,Pepa,What are the parts of this instrument?,"Main parts: buffalo horn body, reed and mouthpiece opening."
pepa7.jpg,Pepa,What sound does this instrument produce?,"Produces a sharp, nasal, piercing sound."
pepa7.jpg,Pepa,Which gender usually plays this instrument?,Traditionally played by men.
pepa7.jpg,Pepa,What is the interaction region of this instrument?,Played by blowing air through the mouthpiece.
pepa7.jpg,Pepa,What type of instrument is this?,A free-reed wind instrument made from natural horn.
pepa7.jpg,Pepa,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. Originating in the plains of Assam, it is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities."
pepa8.jpg,Pepa,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
pepa8.jpg,Pepa,Where did this instrument originate?,Originated in the plains of Assam.
pepa8.jpg,Pepa,What material is this instrument made of?,Made of buffalo horn and reed.
pepa8.jpg,Pepa,What are the parts of this instrument?,"Main parts: buffalo horn body, reed and mouthpiece opening."
pepa8.jpg,Pepa,What sound does this instrument produce?,"Produces a sharp, nasal, piercing sound."
pepa8.jpg,Pepa,Which gender usually plays this instrument?,Traditionally played by men.
pepa8.jpg,Pepa,What is the interaction region of this instrument?,Played by blowing air through the mouthpiece.
pepa8.jpg,Pepa,What type of instrument is this?,A free-reed wind instrument made from natural horn.
pepa8.jpg,Pepa,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. Originating in the plains of Assam, it is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities."
pepa9.jpg,Pepa,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
pepa9.jpg,Pepa,Where did this instrument originate?,Originated in the plains of Assam.
pepa9.jpg,Pepa,What material is this instrument made of?,Made of buffalo horn and reed.
pepa9.jpg,Pepa,What are the parts of this instrument?,"Main parts: buffalo horn body, reed and mouthpiece opening."
pepa9.jpg,Pepa,What sound does this instrument produce?,"Produces a sharp, nasal, piercing sound."
pepa9.jpg,Pepa,Which gender usually plays this instrument?,Traditionally played by men.
pepa9.jpg,Pepa,What is the interaction region of this instrument?,Played by blowing air through the mouthpiece.
pepa9.jpg,Pepa,What type of instrument is this?,A free-reed wind instrument made from natural horn.
pepa9.jpg,Pepa,"Give a detailed description of this instrument including its origin, cultural significance, and role in Assamese music?","The Pepa is a traditional Assamese wind instrument crafted from the horn of a male buffalo fitted with a small reed made from bamboo, cane, or wood. Originating in the plains of Assam, it is inseparable from Rongali Bihu celebrations and is recognized as one of the most iconic symbols of Assamese folk culture. Its sharp, nasal tone accompanies Bihu dance performances. It is traditionally played by young men during Bihu festivities."
pepa10.jpg,Pepa,In which festival is this instrument used?,"Used during Rongali or Bohag Bihu, the spring festival of Assam."
